Chinese (Simpl.),Pinyin,English
卖,mài,to sell; to betray; to spare no effort; to show off or flaunt
慢,màn,slow
忙,máng,busy; hurriedly; to hurry; to rush
每,měi,each; every
妹妹,mèimei,younger sister; young woman
门,mén,gate; door; gateway; doorway
男人,nánrén,a man; a male; men
您,nín,you (courteous as opposed to informal 你)
牛奶,niúnǎi,cow's milk
女人,nǚrén,woman; wife
旁边,pángbiān,side; adjacent place
跑步,pǎobù,to run; to jog; (military) to march at the double
票,piào,ticket; ballot; banknote; person held for ransom
妻子,qīzi,wife
起床,qǐchuáng,to get out of bed; to get up
千,qiān,thousand; see 秋千
晴,qíng,clear; fine (weather)
去年,qùnián,last year
让,ràng,to yield; to permit; to let sb do sth; to have sb do sth
上班,shàngbān,to go to work; to be on duty; to start work; to go to the office
身体,shēntǐ,the body; one's health; in person
生病,shēngbìng,to fall ill
生日,shēngrì,birthday
时间,shíjiān,time; period
事情,shìqing,affair; matter; thing; business
手表,shǒubiǎo,wristwatch
手机,shǒujī,cell phone; mobile phone
送,sòng,to send; to deliver; to transmit; to give (as a present)
所以,suǒyǐ,therefore; as a result; so; the reason why
它,tā,it
踢,tī,to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship)
题,tí,topic; problem for discussion; exam question; subject
跳舞,tiàowǔ,to dance
外,wài,outside; in addition; foreign; external
完,wán,to finish; to be over; whole; complete
玩,wán,to play; to have fun; to trifle with; toy
晚上,wǎnshang,evening; night; in the evening
为,wèi,for; for the sake of; because of
问,wèn,to ask; to inquire
问题,wèntí,question; problem; issue; topic
希望,xīwàng,to hope; a hope; a wish
洗,xǐ,to wash; to bathe; to develop (photographs); to shuffle (cards etc)
西瓜,xīguā,watermelon
向,xiàng,towards; to face; to turn towards; direction
小时,xiǎoshí,hour
笑,xiào,to laugh; to smile; to laugh at
新,xīn,new; newly
姓,xìng,family name; surname; to be surnamed
休息,xiūxi,rest; to rest
雪,xuě,snow; (literary) to wipe away (a humiliation etc)
颜色,yánsè,color; countenance; appearance; facial expression
眼睛,yǎnjing,eye
羊肉,yángròu,mutton; goat meat
药,yào,medicine; drug
要,yào,to want; to need; will; must
也,yě,(adverb) also; both ... and ... (before predicates only); (literary) particle having functions similar to 啊
一起,yīqǐ,in the same place; together; with; altogether (in total)
已经,yǐjīng,already
意思,yìsi,idea; opinion; meaning; wish
因为,yīnwèi,because; owing to; on account of
阴,yīn,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang)
游泳,yóuyǒng,swimming; to swim
右边,yòubian,right side; right; to the right
鱼,yú,fish
元,yuán,yuan (unit of currency)
远,yuǎn,far; distant; remote; (intensifier in a comparison) by far
运动,yùndòng,to move; to exercise; sports; exercise
再,zài,again; once more; re-; second
早上,zǎoshang,early morning
张,zhāng,(measure word for flat objects); to open; to spread
长,cháng,length; long; forever; always
丈夫,zhàngfu,husband
找,zhǎo,to try to find; to look for; to call on sb; to find
着,zhe,(particle) indicating continuous action or state
真,zhēn,really; truly; indeed; real
正在,zhèngzài,just at (that time); right in (that place); right in the middle of (doing sth)
知道,zhīdào,to know; to become aware of
准备,zhǔnbèi,preparation; to prepare; to intend; to be about to
自行车,zìxíngchē,bicycle; bike
走,zǒu,to walk; to go; to run; to move (of vehicle)
最,zuì,most; the most; -est (superlative suffix)
左边,zuǒbian,left; the left side; to the left of
