Chinese (Simpl.),Pinyin,English
镜子,jìngzi,mirror
究竟,jiūjìng,to go to the bottom of a matter; after all; when all is said and done; (in an interrogative sentence) finally
举办,jǔbàn,to conduct; to hold
拒绝,jùjué,to refuse; to decline; to reject
距离,jùlí,distance; to be apart from
开玩笑,kāiwánxiào,to play a joke; to make fun of; to joke
看法,kànfǎ,way of looking at a thing; view; opinion
考虑,kǎolǜ,to think over; to consider; consideration
科学,kēxué,science; scientific knowledge; scientific; rational
棵,kē,classifier for trees; cabbages; plants etc
可怜,kělián,pitiful; pathetic; to have pity on
可是,kěshì,but; however; (used for emphasis) indeed
可惜,kěxī,it is a pity; what a pity; unfortunately
肯定,kěndìng,to be certain; to be positive; assuredly; definitely
空气,kōngqì,air; atmosphere
恐怕,kǒngpà,fear; to dread; I'm afraid that...; perhaps
苦,kǔ,bitter; hardship; pain; to suffer
宽,kuān,wide; broad; loose; relaxed
困,kùn,sleepy; to trap; stranded
困难,kùnnan,difficult; challenging; straitened circumstances; difficult situation
扩大,kuòdà,to expand; to enlarge; to broaden one's scope
垃圾桶,lājītǒng,rubbish bin; trash can; garbage can
拉,lā,to pull; to play (a bowed instrument); to drag; to draw
辣,là,hot (spicy); pungent; (of chili pepper raw onions etc) to sting; to burn
来不及,láibují,there's not enough time (to do sth); it's too late (to do sth)
来得及,láidejí,to have enough time; can do it in time; can still make it
懒,lǎn,lazy
浪费,làngfèi,to waste; to squander
浪漫,làngmàn,romantic
老虎,lǎohǔ,tiger
冷静,lěngjìng,calm; cool-headed; dispassionate; (of a place) deserted
礼貌,lǐmào,courtesy; politeness; manners; courteous
理发,lǐfà,to get a haircut; to have one's hair done; to cut (sb's) hair; to give (sb) a haircut
理解,lǐjiě,to comprehend; to understand
理想,lǐxiǎng,an ideal; a dream; ideal; perfect
力气,lìqi,strength
厉害,lìhai,(used to describe sb or sth that makes a very strong impression whether favorable or unfavorable) terrible; intense; severe; devastating
例如,lìrú,for example; for instance; such as
俩,liǎ,two (colloquial equivalent of 两个); both; some; used in 伎俩
连,lián,to link; to join; to connect; continuously
联系,liánxì,connection; contact; relation; to get in touch with
