Chinese (Simpl.),Pinyin,English
怪,guài,bewildering; odd; strange; uncanny
关闭,guānbì,to close; to shut (a window etc); (of a shop school etc) to shut down
关于,guānyú,pertaining to; concerning; with regard to; about
官,guān,government official; governmental; official; public
官方,guānfāng,government; official (approved or issued by an authority)
光临,guānglín,(formal) to honor with one's presence; to attend
光盘,guāngpán,compact disc (CD); DVD; CD-ROM
逛,guàng,to stroll; to visit
归,guī,to return; to go back to; to give back to; (of a responsibility) to be taken care of by
规律,guīlǜ,rule (e.g. of science); law of behavior; regular pattern; rhythm
规模,guīmó,scale; scope; extent
规则,guīzé,rule; regulation; rules and regulations
果实,guǒshí,fruit (produced by a plant); (fig.) fruits (of success etc); results; gains
过分,guòfèn,excessive; undue; overly
海水,hǎishuǐ,seawater
海鲜,hǎixiān,seafood
含,hán,to keep in the mouth; to contain
含量,hánliàng,content; quantity contained
含义,hányì,meaning (implicit in a phrase); implied meaning; hidden meaning; hint
含有,hányǒu,to contain; including
寒假,hánjià,winter vacation
寒冷,hánlěng,cold (climate); frigid; very cold
航班,hángbān,(scheduled) flight; (scheduled) sailing
航空,hángkōng,aviation
毫米,háomǐ,millimeter
毫升,háoshēng,milliliter
好友,hǎoyǒu,close friend; pal; (social networking website) friend
号码,hàomǎ,number
合同,hétong,(business) contract
黑暗,hēiàn,dark; darkly; darkness
红包,hóngbāo,money wrapped in red as a gift; bonus payment; kickback; bribe
后头,hòutou,behind; the back; the rear; later
厚,hòu,thick; deep or profound; kind; generous
呼吸,hūxī,to breathe
忽视,hūshì,to neglect; to overlook; to disregard; to ignore
户,hù,a household; door; family
护士,hùshi,nurse
划,huá,to row; to paddle; profitable; worth (the effort)
怀念,huáiniàn,to cherish the memory of; to think of; to reminisce
怀疑,huáiyí,to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions
缓解,huǎnjiě,to bring relief; to alleviate (a crisis); to dull (a pain)
黄瓜,huángguā,cucumber
黄金,huángjīn,gold; golden (opportunity); prime (time)
回复,huífù,to reply; to recover; to return (to a previous condition); Re: in reply to (email)
汇,huì,to remit; to converge (of rivers); to exchange; class
汇报,huìbào,to report; to give an account of; to collect information and report back; to report
汇率,huìlǜ,exchange rate
会计,kuàijì,accountant; accountancy; accounting
婚礼,hūnlǐ,wedding ceremony; wedding
伙,huǒ,companion; partner; group; (classifier for a group)
伙伴,huǒbàn,partner; companion; comrade
或许,huòxǔ,perhaps; maybe
货,huò,goods; money; commodity
获,huò,to obtain; to gain; to reap; to harvest
获得,huòdé,to obtain; to receive; to get
获奖,huòjiǎng,to win an award
获取,huòqǔ,to gain; to get; to acquire
机构,jīgòu,mechanism; structure; organization; agency
机遇,jīyù,opportunity; favorable circumstance; stroke of luck
积累,jīlěi,to accumulate; accumulation; cumulative; cumulatively
激动,jīdòng,to move emotionally; to stir up (emotions); to excite
激烈,jīliè,(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned
及格,jígé,to pass an exam or a test; to meet a minimum standard
即将,jíjiāng,on the eve of; to be about to; to be on the verge of
极,jí,extremely; pole (geography physics); utmost; top
极其,jíqí,extremely
急忙,jímáng,hastily
集合,jíhé,to gather; to assemble; (math.) set
几乎,jīhū,almost; nearly; practically
记载,jìzǎi,to write down; to record; written account
纪律,jìlǜ,discipline
技巧,jìqiǎo,skill; technique
季,jì,season; the last month of a season; fourth or youngest amongst brothers; classifier for seasonal crop yields
季度,jìdù,quarter of a year; season (sports)
季节,jìjié,season
既,jì,already; since; both... (and...)
既然,jìrán,since; as; this being the case
寄,jì,to send; to mail; to entrust; to depend on
加班,jiābān,to work overtime
加入,jiārù,to become a member; to join; to mix into; to participate in
加油站,jiāyóuzhàn,gas station
家务,jiāwù,household duties; housework
假如,jiǎrú,if
坚固,jiāngù,firm; firmly; hard; stable
减,jiǎn,to lower; to decrease; to reduce; to subtract
减肥,jiǎnféi,to lose weight
减少,jiǎnshǎo,to lessen; to decrease; to reduce; to lower
检测,jiǎncè,to detect; to test; detection; sensing
简历,jiǎnlì,curriculum vitae (CV); résumé; biographical notes
健身,jiànshēn,to exercise; to keep fit; to work out; physical exercise
渐渐,jiànjiàn,gradually
江,jiāng,river
讲究,jiǎngjiu,to pay particular attention to; carefully selected for quality; tastefully chosen
讲座,jiǎngzuò,a course of lectures
奖,jiǎng,prize; award; encouragement
奖金,jiǎngjīn,premium; award money; bonus
奖学金,jiǎngxuéjīn,scholarship
降,jiàng,to drop; to fall; to come down; to descend
降低,jiàngdī,to reduce; to lower; to bring down
降价,jiàngjià,to cut the price; to drive down the price; to get cheaper
降落,jiàngluò,to descend; to land
降温,jiàngwēn,to become cooler; to lower the temperature; cooling; (of interest activity etc) to decline
交换,jiāohuàn,to exchange; to swap; to switch (telecom); commutative (math)
交际,jiāojì,communication; social intercourse
角色,juésè,role; character in a novel; persona
教授,jiàoshòu,professor; to instruct; to lecture on
教训,jiàoxun,to provide guidance; to lecture sb; to upbraid; a talking-to
阶段,jiēduàn,stage; section; phase; period
街道,jiēdào,street; subdistrict; residential district
节省,jiéshěng,saving; to save; to use sparingly; to cut down on
结,jié,knot; to tie; to conclude; to settle
结构,jiégòu,structure; composition; makeup; architecture
结论,jiélùn,conclusion; verdict; to conclude; to reach a verdict
解释,jiěshì,explanation; to explain; to interpret; to resolve
姐妹,jiěmèi,sisters; siblings; sister (school city etc)
尽快,jǐnkuài,as quickly as possible; as soon as possible; see 尽快
尽力,jìnlì,to strive one's hardest; to spare no effort
紧密,jǐnmì,inseparably close
近代,jìndài,the not-very-distant past; modern times; excluding recent decades; (in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919); capitalist times (pre-1949)
进口,jìnkǒu,to import; imported; entrance; inlet (for the intake of air water etc)
禁止,jìnzhǐ,to prohibit; to forbid; to ban
经典,jīngdiǎn,the classics; scriptures; classical; classic (example case etc)
精力,jīnglì,energy
竟然,jìngrán,unexpectedly; to one's surprise; in spite of everything; in that crazy way
镜头,jìngtóu,camera lens; camera shot (in a movie etc); scene
镜子,jìngzi,mirror
究竟,jiūjìng,to go to the bottom of a matter; after all; when all is said and done; (in an interrogative sentence) finally
酒吧,jiǔbā,bar; pub; saloon
居民,jūmín,resident; inhabitant
居住,jūzhù,to reside; to dwell; to live in a place; resident in
局,jú,office; bureau; situation; game (round)
巨大,jùdà,huge; immense; very large; tremendous
具备,jùbèi,to possess; to have; equipped with; able to fulfill (conditions or requirements)
距离,jùlí,distance; to be apart from
聚,jù,to congregate; to assemble; to mass; to gather together
聚会,jùhuì,party; gathering; to meet; to get together
卷,juǎn,to roll up; roll; classifier for small rolled things (wad of paper money movie reel etc); scroll
开花,kāihuā,to bloom; to blossom; to flower; (fig.) to burst
开水,kāishuǐ,boiled water; boiling water
看不起,kànbuqǐ,to look down upon; to despise
看来,kànlai,apparently; it seems that
看望,kànwàng,to pay a visit to; to see (sb)
考察,kǎochá,to inspect; to observe and study; on-the-spot investigation
考虑,kǎolǜ,to think over; to consider; consideration
棵,kē,classifier for trees; cabbages; plants etc
可见,kějiàn,it can clearly be seen (that this is the case); it is (thus) clear; clear; visible
空间,kōngjiān,space; room; (fig.) scope; leeway
口袋,kǒudài,pocket; bag; sack
口语,kǒuyǔ,colloquial speech; spoken language; vernacular language; slander
苦,kǔ,bitter; hardship; pain; to suffer
快递,kuàidì,express delivery
宽,kuān,wide; broad; loose; relaxed
宽广,kuānguǎng,wide; broad; extensive; vast
矿泉水,kuàngquánshuǐ,mineral water
扩大,kuòdà,to expand; to enlarge; to broaden one's scope
扩展,kuòzhǎn,to extend; to expand; extension; expansion
括号,kuòhào,parentheses; brackets
垃圾,lājī,trash; refuse; garbage; (coll.) of poor quality
拉开,lākāi,to pull open; to pull apart; to space out; to increase
辣,là,hot (spicy); pungent; (of chili pepper raw onions etc) to sting; to burn
来不及,láibují,there's not enough time (to do sth); it's too late (to do sth)
来得及,láidejí,to have enough time; can do it in time; can still make it
来源,láiyuán,source (of information etc); origin
老公,lǎogōng,(coll.) husband; (coll.) eunuch
老家,lǎojiā,native place; place of origin; home state or region
老婆,lǎopó,(coll.) wife
老实,lǎoshi,honest; sincere; well-behaved; naive
乐趣,lèqù,delight; pleasure; joy
了不起,liǎobuqǐ,amazing; terrific; extraordinary
了解,liǎojiě,to understand; to realize; to find out; to understand
泪,lèi,tears
泪水,lèishuǐ,teardrop; tears
类型,lèixíng,type; kind; category; (computer programming) type
冷静,lěngjìng,calm; cool-headed; dispassionate; (of a place) deserted
厘米,límǐ,centimeter
离不开,líbukāi,inseparable; inevitably linked to
力气,lìqi,strength
历史,lìshǐ,history
立即,lìjí,immediately
利息,lìxī,interest (on a loan)
利益,lìyì,benefit; (in sb's) interest
俩,liǎ,two (colloquial equivalent of 两个); both; some; used in 伎俩
良好,liánghǎo,good; favorable; well; fine
粮食,liángshi,foodstuff; cereals
两边,liǎngbian,either side; both sides
量,liáng,to measure; capacity; quantity; amount
疗养,liáoyǎng,to get well; to heal; to recuperate; to convalesce
列,liè,to arrange; to line up; file; series
列车,lièchē,(railway) train
列入,lièrù,to include on a list
列为,lièwéi,to be classified as
临时,línshí,as the time draws near; at the last moment; temporary; interim
零食,língshí,between-meal nibbles; snacks
流传,liúchuán,to spread; to circulate; to hand down
楼梯,lóutī,stair; staircase
陆地,lùdì,dry land (as opposed to the sea)
陆续,lùxù,in turn; successively; one after the other; bit by bit
录取,lùqǔ,to accept an applicant (prospective student employee etc) who passes an entrance exam; to admit (a student); to hire (a job candidate)
律师,lǜshī,lawyer
率先,shuàixiān,to take the lead; to show initiative
轮,lún,wheel; disk; ring; steamship
轮船,lúnchuán,steamship; steamer; steamboat
轮椅,lúnyǐ,wheelchair
轮子,lúnzi,wheel; (derog.) Falun Gong practitioner
论文,lùnwén,paper; treatise; thesis; to discuss a paper or thesis (old)
落,luò,to fall; to drop; to decline; to fall behind
毛巾,máojīn,towel
毛衣,máoyī,(wool) sweater
帽子,màozi,hat; cap; (fig.) label; bad name
没错,méicuò,that's right; sure!; rest assured!; that's good
没法儿,méifǎr5,Can't
没想到,méixiǎngdào,didn't expect
美金,Měijīn,US dollar; USD
美女,měinǚ,beautiful woman
梦,mèng,dream; (bound form) to dream
梦见,mèngjiàn,to dream about (sth or sb); to see in a dream
梦想,mèngxiǎng,(fig.) to dream of; dream
秘密,mìmì,secret; private; confidential; clandestine
秘书,mìshū,secretary
密,mì,secret; confidential; dense; close
密码,mìmǎ,cipher; secret code; password; PIN
密切,mìqiè,close; familiar; intimate; closely (related)
免费,miǎnfèi,free (of charge)
面临,miànlín,to face sth; to be confronted with
面试,miànshì,to be interviewed (as a candidate); interview
描述,miáoshù,to describe; description
描写,miáoxiě,to describe; to depict; to portray; description
名牌儿,míngpáir5,Famous brand
名片,míngpiàn,(business) card
名人,míngrén,personage; celebrity
摸,mō,to feel with the hand; to touch; to stroke; to grope
模特儿,mótèr,(fashion) model (loanword)
模型,móxíng,model; mold; matrix; pattern
末,mò,tip; end; final stage; latter part
默默,mòmò,in silence; not speaking
哪怕,nǎpà,even; even if; even though; no matter how
男女,nánnǚ,male-female; male and female
男士,nánshì,man; gentleman
难免,nánmiǎn,hard to avoid; difficult to escape from; will inevitably
脑袋,nǎodai,head; skull; brains; mental capability
闹,nào,noisy; cacophonous; to make noise; to disturb
闹钟,nàozhōng,alarm clock
内部,nèibù,interior; inside (part section); internal
内科,nèikē,internal medicine; general medicine
能干,nénggàn,capable; competent
宁静,níngjìng,tranquil; tranquility; serenity
浓,nóng,concentrated; dense; strong (smell etc)
女士,nǚshì,lady; madam; Miss; Ms
暖气,nuǎnqì,central heating; heater; warm air
拍照,pāizhào,to take a picture
排列,páiliè,to arrange in order; (math.) permutation
牌,pái,sign; brand; card; plate; signboard
盘,pán,plate; dish; tray; board
盘子,pánzi,tray; plate; dish
胖子,pàngzi,fat person; fatty
培训,péixùn,to cultivate; to train; to groom; training
培训班,péixùnbān,training class
培养,péiyǎng,to cultivate; to breed; to foster; to nurture
培育,péiyù,to train; to breed
批,pī,to criticize; to comment on; batch; (classifier for batches)
片面,piànmiàn,unilateral; one-sided
品质,pǐnzhì,character; intrinsic quality (of a person); quality (of a product or service or as in 'quality of life' 'air quality' etc)
平方,píngfāng,square (as in square foot square mile square root)
平静,píngjìng,tranquil; undisturbed; serene
平均,píngjūn,average; on average; evenly; in equal proportions
平稳,píngwěn,smooth; steady
迫切,pòqiè,urgent; pressing
破产,pòchǎn,to go bankrupt; to become impoverished; bankruptcy
妻子,qīzi,wife
期待,qīdài,to look forward to; to await; expectation
期间,qījiān,period of time; time; time period; period
期末,qīmò,end of term
期限,qīxiàn,time limit; deadline; allotted time
期中,qīzhōng,interim; midterm
其余,qíyú,the rest; the others; remaining; remainder
企业,qǐyè,company; firm; enterprise; corporation
气球,qìqiú,balloon
汽水,qìshuǐ,soda pop; carbonated soft drink
汽油,qìyóu,gasoline
器官,qìguān,(physiology) organ; apparatus
前头,qiántou,in front; at the head; ahead; above
前途,qiántú,prospects; future outlook; journey
浅,qiǎn,shallow; light (of color); simple; superficial
巧克力,qiǎokèlì,chocolate (loanword)
切,qiē,to cut; to slice; to carve; (math) tangential
亲爱,qīnài,dear; beloved; darling
亲密,qīnmì,intimate; close
青春,qīngchūn,youth; youthfulness
轻松,qīngsōng,light; gentle; relaxed; effortless
轻易,qīngyì,easily; lightly; rashly
清醒,qīngxǐng,clear-headed; sober; awake
情景,qíngjǐng,scene; spectacle; circumstances; situation
穷,qióng,poor; destitute; to use up; to exhaust
穷人,qióngrén,poor people; the poor
秋季,qiūjì,autumn; fall
趋势,qūshì,trend; tendency
圈,quān,circle; ring; loop; to encircle
权利,quánlì,right (i.e. an entitlement to sth); (classical) power and wealth
却,què,but; yet; however; while
确认,quèrèn,to confirm; to verify; confirmation
然而,ránér,however; yet; but
燃料,ránliào,fuel
燃烧,ránshāo,to ignite; to combust; to burn; combustion
热闹,rènao,bustling with noise and excitement; lively
热心,rèxīn,enthusiastic; ardent; zealous
人家,rénjiā,household; dwelling; family; sb else's house
日记,rìjì,diary
日历,rìlì,calendar
如今,rújīn,nowadays; now
弱,ruò,weak; feeble; young; inferior
伞,sǎn,umbrella; parasol; damask silk
散,sàn,scattered; loose; to come loose; to fall apart
扫,sǎo,to sweep; broom
色,sè,color; look; appearance; sex
色彩,sècǎi,tint; coloring; coloration; (fig.) flavor
晒,shài,(of the sun) to shine on; to bask in (the sunshine); to dry (clothes grain etc) in the sun; (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from 'share')
闪,shǎn,to flash; to sparkle; lightning; to dodge
闪电,shǎndiàn,lightning
善良,shànliáng,good and honest; kindhearted
