Chinese (Simpl.),Pinyin,English
同学,tóngxué,to study at the same school; fellow student; classmate
喂,wèi,hello (on phone); hey; to feed
我,wǒ,I; me; my
我们,wǒmen,we; us; ourselves; our
五,wǔ,five; 5
喜欢,xǐhuan,to like; to be fond of
下,xià,down; downwards; below; lower
下午,xiàwǔ,afternoon; p.m.
下雨,xiàyǔ,to rain
先生,xiānsheng,teacher; gentleman; sir; mister (Mr.)
现在,xiànzài,now; at present; at the moment; modern
想,xiǎng,to think (about); to think of; to devise; to think (that)
小,xiǎo,small; tiny; few; young
小姐,xiǎojie,young lady; miss; (slang) prostitute
些,xiē,classifier indicating a small amount or small number greater than 1: some; a few; several
写,xiě,to write
谢谢,xièxie,to thank; thanks; thank you
星期,xīngqī,week; day of the week; Sunday
学生,xuésheng,student; schoolchild
学习,xuéxí,to learn; to study
学校,xuéxiào,school
一,yī,one; single; a (article); as soon as
衣服,yīfu,clothes
医生,yīshēng,doctor
医院,yīyuàn,hospital
椅子,yǐzi,chair
有,yǒu,to have; there is; (bound form) having; with
月,yuè,moon; month; monthly
再见,zàijiàn,goodbye; see you again later
在,zài,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)
怎么,zěnme,how?; what?; why?
怎么样,zěnmeyàng,how?; how about?; how was it?; how are things?
这,zhè,(pronoun) this; these; (bound form) this; the (followed by a noun)
中国,Zhōngguó,China
中午,zhōngwǔ,noon; midday
住,zhù,to live; to dwell; to stay; to reside
桌子,zhuōzi,table; desk
字,zì,letter; symbol; character; word
昨天,zuótiān,yesterday
坐,zuò,to sit; to take a seat; to take (a bus airplane etc); to bear fruit
做,zuò,to make; to produce; to write; to compose
