Chinese (Simpl.),Pinyin,English
分配,fēnpèi,to distribute; to assign; to allocate; to partition (a hard drive)
分组,fēnzǔ,to divide into groups; group (formed from a larger group); subgroup; (computer networking) packet
丰富,fēngfù,to enrich; rich; plentiful; abundant
风险,fēngxiǎn,risk; hazard
否定,fǒudìng,to negate; to deny; to reject; negative (answer)
否认,fǒurèn,to declare to be untrue; to deny
服务员,fúwùyuán,waiter; waitress; attendant; customer service personnel
服装,fúzhuāng,dress; clothing; costume; clothes
福,Fú,good fortune; happiness; luck
父母,fùmǔ,father and mother; parents
父亲,fùqīn,father
付,fù,to pay; to hand over to; classifier for pairs or sets of things
负责,fùzé,to be in charge of; to take responsibility for; to be to blame; conscientious
复印,fùyìn,to photocopy; to duplicate a document
复杂,fùzá,complicated; complex
富,fù,rich; abundant; wealthy
改进,gǎijìn,to improve; to make better; improvement
改造,gǎizào,to transform; to reform; to remodel; to remold
概念,gàiniàn,concept; idea
赶,gǎn,to overtake; to catch up with; to hurry; to rush
赶到,gǎndào,to hurry (to some place)
赶紧,gǎnjǐn,hurriedly; without delay
赶快,gǎnkuài,quickly; at once
敢,gǎn,to dare; daring; (polite) may I venture
感冒,gǎnmào,to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); (Tw) to detest
感情,gǎnqíng,emotion; sentiment; affection; feelings between two persons
感受,gǎnshòu,to sense; perception; to feel (through the senses); to experience
干吗,gànmá,see 干嘛
高速,gāosù,high speed; expressway (abbr. for 路)
高速公路,gāosùgōnglù,expressway; highway; freeway
告别,gàobié,to leave; to part from; to bid farewell to; to say goodbye to
歌迷,gēmí,fan of a singer
歌声,gēshēng,singing voice; fig. original voice of a poet
歌手,gēshǒu,singer
个人,gèrén,individual; personal; oneself
个性,gèxìng,individuality; personality
各,gè,each; every
各地,gèdì,in all parts of (a country); various regions
各位,gèwèi,everybody; all (guests colleagues etc); all of you
各种,gèzhǒng,every kind of; all kinds of; various
各自,gèzì,each; respective; apiece
根本,gēnběn,fundamental; basic; root; simply
更加,gèngjiā,more (than sth else); even more
工厂,gōngchǎng,factory
工程师,gōngchéngshī,engineer
工夫,gōngfu,(period of) time; effort
工具,gōngjù,tool; instrument; utensil; means (to achieve a goal etc)
工业,gōngyè,industry
工资,gōngzī,wages; pay
公布,gōngbù,to announce; to make public; to publish
公共,gōnggòng,public; common; communal
公开,gōngkāi,open; overt; public; to make public
公民,gōngmín,citizen
公务员,gōngwùyuán,functionary; office-bearer
功夫,gōngfu,skill; art; kung fu; labor
功课,gōngkè,homework; assignment; task; classwork
功能,gōngnéng,function; capability
共同,gòngtóng,common; joint; jointly; together
共有,gòngyǒu,to have altogether; in all
姑娘,gūniang,girl; young woman; young lady; daughter
古,gǔ,ancient; old; paleo-
古代,gǔdài,ancient times
故乡,gùxiāng,home; homeland; native place
挂,guà,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned
关系,guānxi,relation; relationship; to concern; to affect
关注,guānzhù,to pay attention to; to follow sth closely; to follow (on social media); concern
观察,guānchá,to observe; to watch; to survey
观看,guānkàn,to watch; to view
观念,guānniàn,notion; thought; concept; sense
观众,guānzhòng,spectators; audience; visitors (to an exhibition etc)
管,guǎn,to take care (of); to control; to manage; to be in charge of
管理,guǎnlǐ,to supervise; to manage; to administer; management
光,guāng,light; ray; bright; shiny
光明,guāngmíng,light; radiance; (fig.) bright (prospects etc); openhearted
广播,guǎngbō,broadcast; broadcasting; to broadcast; (formal) to propagate
广大,guǎngdà,(of an area) vast or extensive; large-scale; widespread; (of people) numerous
规定,guīdìng,to stipulate; to specify; to prescribe; to fix (a price)
规范,guīfàn,norm; standard; specification; regulation
国内,guónèi,domestic; internal (to a country); civil
国庆,Guóqìng,National Day
果然,guǒrán,really; sure enough; as expected; if indeed
果汁,guǒzhī,fruit juice
过程,guòchéng,course of events; process
哈哈,hāhā,(onom.) laughing out loud
海关,hǎiguān,customs (i.e. border crossing inspection)
害怕,hàipà,to be afraid; to be scared
好好,hǎohǎo,well; carefully; nicely; properly
好奇,hàoqí,inquisitive; curious; inquisitiveness; curiosity
合,hé,to close; to join; to combine
合法,héfǎ,lawful; legitimate; legal
合格,hégé,to meet the standard required; qualified; eligible (voter etc)
合理,hélǐ,rational; reasonable; sensible; fair
合作,hézuò,to cooperate; to collaborate; to work together; cooperation
和平,hépíng,peace; peaceful
红茶,hóngchá,black tea
红酒,hóngjiǔ,red wine
后果,hòuguǒ,consequences; aftermath
后面,hòumian,the back; the rear; the last bit; behind
后年,hòunián,the year after next
互联网,Hùliánwǎng,Internet
互相,hùxiāng,each other; mutually; mutual
华人,Huárén,ethnic Chinese person or people
化,huà,to change; to transform; -ization
划船,huáchuán,to row a boat; rowing boat; rowing (sport)
话剧,huàjù,stage play; modern drama
话题,huàtí,subject (of a talk or conversation); topic
环,huán,ring; hoop; loop; (chain) link
环保,huánbǎo,environmental protection; environmentally friendly
环境,huánjìng,environment; circumstances; surroundings; ambient
欢乐,huānlè,gaiety; gladness; glee; merriment
会议,huìyì,meeting; conference
会员,huìyuán,member
活,huó,to live; alive; living; work
火,huǒ,fire; urgent; ammunition; fiery or flaming
机器,jīqì,machine
积极,jījí,active; energetic; vigorous; positive (outlook)
积极性,jījíxìng,zeal; initiative; enthusiasm; activity
基本,jīběn,basic; fundamental; main; elementary
基本上,jīběnshang,basically; on the whole
基础,jīchǔ,base; foundation; basis; basic
及时,jíshí,timely; at the right time; promptly; without delay
极了,jíle,extremely; exceedingly
集体,jítǐ,collective (decision); joint (effort); a group; a team
集中,jízhōng,to concentrate; to centralize; to focus; centralized
计算,jìsuàn,to count; to calculate; to compute
记录,jìlù,to record; record (written account); note-taker; record (in sports etc)
记者,jìzhě,reporter; journalist
纪录,jìlù,record (e.g. world record); to record
纪念,jìniàn,to commemorate; to honor the memory of; memento; keepsake
技术,jìshù,technology; technique; skill
继续,jìxù,to continue; to proceed with; to go on with
加工,jiāgōng,to process; processing; working (of machinery)
加快,jiākuài,to accelerate; to speed up
加强,jiāqiáng,to reinforce; to strengthen; to enhance
家具,jiājù,furniture
家属,jiāshǔ,family member; (family) dependent
家乡,jiāxiāng,hometown; native place
价格,jiàgé,price
价钱,jiàqian,price
价值,jiàzhí,value; worth; fig. values (ethical cultural etc)
架,jià,to support; frame; rack; framework
坚持,jiānchí,to persevere with; to persist in; to insist on
坚决,jiānjué,firm; resolute; determined
坚强,jiānqiáng,staunch; strong
简单,jiǎndān,simple; not complicated
简直,jiǎnzhí,simply; really
建,jiàn,to establish; to found; to set up; to build
建成,jiànchéng,to establish; to build
建立,jiànlì,to establish; to set up; to found
建设,jiànshè,to build; to construct; to establish; to develop
建议,jiànyì,to propose; to suggest; to recommend; proposal
将近,jiāngjìn,almost; nearly; close to
将来,jiānglái,in the future; future; the future
交费,jiāofèi,to pay a fee
交警,jiāojǐng,traffic police (abbr. for 察)
交流,jiāoliú,to exchange; exchange; communication; interaction
交往,jiāowǎng,to associate (with); to have contact (with); to hang out (with); to date
交易,jiāoyì,to deal; to trade; to transact; transaction
较,jiào,to compare; to dispute; compared to; (before adj.) relatively
教材,jiàocái,teaching material
教练,jiàoliàn,instructor; sports coach; trainer
接待,jiēdài,to receive (a visitor); to admit (allow sb to enter)
接近,jiējìn,to approach; to get close to
节约,jiéyuē,to economize; to conserve (resources); economy; frugal
结合,jiéhé,to combine; to link; to integrate; binding
结婚,jiéhūn,to marry; to get married
结实,jiēshí,to bear fruit; rugged; sturdy; strong
结束,jiéshù,termination; to finish; to end; to conclude
解决,jiějué,to solve; to resolve; to settle (a problem); to eliminate
解开,jiěkāi,to untie; to undo; to solve (a mystery)
金,jīn,gold; metal; money
金牌,jīnpái,gold medal
仅,jǐn,barely; only; merely
仅仅,jǐnjǐn,barely; only; merely; only (this and nothing more)
尽量,jǐnliàng,as much as possible; to the greatest extent; as much as possible; to the greatest extent
紧,jǐn,tight; strict; close at hand; near
紧急,jǐnjí,urgent; emergency
紧张,jǐnzhāng,nervous; keyed up; intense; tense
近期,jìnqī,near in time; in the near future; very soon; recent
进步,jìnbù,progress; improvement; to improve; to progress
进一步,jìnyībù,to go a step further; (develop understand improve etc) more; further
进展,jìnzhǎn,to make headway; to make progress
京剧,Jīngjù,Beijing opera
经济,jīngjì,economy; economic
经历,jīnglì,experience; to experience; to go through
经验,jīngyàn,experience; to experience
经营,jīngyíng,to engage in (business etc); to run; to operate
精彩,jīngcǎi,wonderful; marvelous; brilliant
精神,jīngshén,spirit; mind; consciousness; thought
景色,jǐngsè,scenery; scene; landscape; view
警察,jǐngchá,police; police officer
静,jìng,still; calm; quiet; not moving
久,jiǔ,(long) time; (long) duration of time
旧,jiù,old; opposite: new 新; former; worn (with age)
救,jiù,to save; to assist; to rescue
就是,jiùshì,exactly; precisely; only; simply
就业,jiùyè,to get a job; employment
举办,jǔbàn,to conduct; to hold
具体,jùtǐ,concrete; definite; specific
具有,jùyǒu,to have; to possess
剧场,jùchǎng,theater
据说,jùshuō,it is said that; reportedly
决定,juédìng,to decide (to do something); to resolve; decision; certainly
决赛,juésài,finals (of a competition)
决心,juéxīn,determination; resolution; determined; firm and resolute
绝对,juéduì,absolute; unconditional
咖啡,kāfēi,coffee (loanword)
开发,kāifā,to exploit (a resource); to open up (for development); to develop
开放,kāifàng,to bloom; to open; to be open (to the public); to open up (to the outside)
开始,kāishǐ,to begin; beginning; to start; initial
开业,kāiyè,to open a business; to open a practice; open (for business)
开展,kāizhǎn,to launch; to develop; to unfold; (of an exhibition etc) to open
看起来,kànqǐlai,seemingly; apparently; looks as if; appear to be
看上去,kànshangqu,it would appear; it seems (that)
考验,kǎoyàn,to test; to put to the test; trial; ordeal
科技,kējì,science and technology
可靠,kěkào,reliable
可乐,kělè,amusing; entertaining; (loanword) cola
克服,kèfú,(try to) overcome (hardships etc); to conquer; to put up with; to endure
客观,kèguān,objective; impartial
课程,kèchéng,course; academic program
空,kōng,empty; air; sky; in vain
空调,kōngtiáo,air conditioning; air conditioner (including units that have a heating mode)
空儿,kòngr,spare time; free time
恐怕,kǒngpà,fear; to dread; I'm afraid that...; perhaps
裤子,kùzi,pants; trousers; pants
快速,kuàisù,fast; high-speed; rapid
困,kùn,sleepy; to trap; stranded
困难,kùnnan,difficult; challenging; straitened circumstances; difficult situation
浪费,làngfèi,to waste; to squander
老百姓,lǎobǎixìng,ordinary people; the 'person in the street'
老板,lǎobǎn,Robam (brand); boss; business proprietor
老太太,lǎotàitai,elderly lady (respectful); esteemed mother
老头儿,lǎotóur,see 老头子
乐,lè,happy; cheerful; to laugh; music
乐队,yuèduì,band; pop group
乐观,lèguān,optimistic; hopeful
类,lèi,kind; type; class; category
类似,lèisì,similar; analogous
离婚,líhūn,to divorce
里面,lǐmiàn,inside; interior
理发,lǐfà,to get a haircut; to have one's hair done; to cut (sb's) hair; to give (sb) a haircut
理解,lǐjiě,to comprehend; to understand
理论,lǐlùn,theory; to argue; to take notice of
理由,lǐyóu,reason; grounds; justification
力,lì,power; force; strength; ability
力量,lìliang,power; force; strength
立刻,lìkè,forthwith; immediate; prompt; promptly
利用,lìyòng,to exploit; to make use of; to use; to take advantage of
连,lián,to link; to join; to connect; continuously
连忙,liánmáng,promptly; at once
连续,liánxù,continuous; in a row; serial; consecutive
连续剧,liánxùjù,serialized drama; dramatic series; show in parts
联合,liánhé,to combine; to join; unite; alliance
联合国,Liánhéguó,United Nations
联系,liánxì,connection; contact; relation; to get in touch with
凉水,liángshuǐ,cool water; unboiled water
领,lǐng,neck; collar; to lead; to receive
领导,lǐngdǎo,lead; leading; to lead; leadership
领先,lǐngxiān,to lead; to be in front
另外,lìngwài,additional; in addition; besides; separate
另一方面,lìngyīfāngmiàn,on the other hand; another aspect
留学,liúxué,to study abroad
龙,lóng,dragon; imperial
录,lù,to record; to copy down; record
录音,lùyīn,to record (sound); sound recording
路线,lùxiàn,itinerary; route; political line (e.g. right revisionist road)
旅馆,lǚguǎn,hotel
旅行社,lǚxíngshè,travel agency
绿茶,lǜchá,green tea; (slang) (of a girl) seemingly innocent and charming but actually calculating and manipulative; a girl who has these qualities
乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval
落后,luòhòu,to fall behind; to lag (in technology etc); backward; to retrogress
麻烦,máfan,trouble; inconvenience; inconvenient; troublesome
马,mǎ,horse
满足,mǎnzú,to satisfy; to meet (the needs of); satisfied; content
慢慢,mànmàn,slowly
毛病,máobìng,fault; defect; shortcomings; ailment
没用,méiyòng,useless
媒体,méitǐ,media; esp. news media
每,měi,each; every
美,měi,beautiful; pretty
美好,měihǎo,beautiful; fine
美丽,měilì,beautiful
美食,měishí,culinary delicacy; fine food; gourmet food
美术,měishù,art; fine arts; painting
美元,Měiyuán,American dollar; US dollar
迷,mí,to bewilder; crazy about; fan; enthusiast
面对,miànduì,to face; to confront
面积,miànjī,area (of a floor piece of land etc); surface area; tract of land
民间,mínjiān,among the people; popular; folk; non-governmental
民族,mínzú,nationality; ethnic group
明确,míngquè,clear-cut; definite; explicit; to clarify
明显,míngxiǎn,clear; distinct; obvious
命运,mìngyùn,fate; destiny
某,mǒu,some; a certain; sb or sth indefinite; such-and-such
母亲,mǔqīn,mother
木头,mùtou,slow-witted; blockhead; log (of wood timber etc)
目标,mùbiāo,target; goal; objective
目前,mùqián,at the present time; currently
奶茶,nǎichá,milk tea
男子,nánzǐ,a man; a male
南部,nánbù,southern part
难道,nándào,don't tell me ...; could it be that...?
难度,nándù,degree of difficulty
内,nèi,inside; inner; internal; within
内容,nèiróng,content; substance; details
内心,nèixīn,heart; innermost being; (math.) incenter
能不能,néngbùnéng,Can you
能力,nénglì,capability; ability
年初,niánchū,beginning of the year
年代,niándài,a decade of a century (e.g. the Sixties); age; era; period
年底,niándǐ,the end of the year; year-end
年纪,niánjì,age
念,niàn,to read; to study (a subject); to attend (a school); to read aloud
牛,niú,ox; cow; bull; newton (abbr. for 牛顿)
农村,nóngcūn,rural area; village
农民,nóngmín,peasant; farmer
农业,nóngyè,agriculture; farming
女子,nǚzǐ,woman; female
暖和,nuǎnhuo,warm; nice and warm
拍,pāi,to pat; to clap; to slap; to swat
排名,páimíng,to rank (1st 2nd etc); ranking
牌子,páizi,sign; trademark; brand
派,pài,clique; school; group; faction
判断,pànduàn,to judge; to determine; judgment
胖,pàng,fat; plump
跑步,pǎobù,to run; to jog; (military) to march at the double
配,pèi,to join; to fit; to mate; to mix
配合,pèihé,matching; fitting in with; compatible with; to correspond
批评,pīpíng,to criticize; criticism
批准,pīzhǔn,to approve; to ratify
皮,pí,leather; skin; fur; pico- (one trillionth)
皮包,píbāo,handbag; briefcase
啤酒,píjiǔ,beer (loanword)
票价,piàojià,ticket price; fare; admission fee
评价,píngjià,to evaluate; to assess
苹果,píngguǒ,apple
破,pò,broken; damaged; worn out; lousy
破坏,pòhuài,destruction; damage; to wreck; to break
普遍,pǔbiàn,universal; general; widespread; common
普及,pǔjí,to spread extensively; to generalize; widespread; popular
期,qī,period; cycle; a period of time; phase
齐,qí,neat; even; together
其次,qícì,next; secondly
其实,qíshí,actually; in fact; really
奇怪,qíguài,strange; odd; to marvel; to be baffled
气候,qìhòu,(meteorology) climate; (fig.) climate; prevailing conditions (in human affairs)
千万,qiānwàn,ten million; countless; many; one must by all means
前后,qiánhòu,around; from beginning to end; all around; front and rear
前进,qiánjìn,to go forward; to forge ahead; to advance; onward
前面,qiánmiàn,ahead; in front; preceding; above
前往,qiánwǎng,to leave for; to proceed towards; to go to
强,qiáng,strong; powerful
强大,qiángdà,large; formidable; powerful; strong
强调,qiángdiào,to emphasize (a statement); to stress
强烈,qiángliè,strong; intense
桥,qiáo,bridge
巧,qiǎo,opportunely; coincidentally; as it happens; skillful
亲,qīn,parent; one's own (flesh and blood); relative; related
亲切,qīnqiè,amiable; cordial; close and dear; familiar
亲人,qīnrén,one's close relatives
亲自,qīnzì,personally; in person; oneself
情感,qínggǎn,feeling; emotion; to move (emotionally)
情况,qíngkuàng,circumstances; state of affairs; situation
请教,qǐngjiào,to ask for guidance; to consult
庆祝,qìngzhù,to celebrate
球迷,qiúmí,fan (ball sports)
区,qū,area; region; district; small
区别,qūbié,difference; to distinguish; to discriminate; to make a distinction
取消,qǔxiāo,to cancel; cancellation
去世,qùshì,to pass away; to die
全场,quánchǎng,everyone present; the whole audience; across-the-board; unanimously
全面,quánmiàn,all-around; comprehensive; total; overall
全球,quánqiú,entire; total; global; the (whole) world
缺,quē,deficiency; lack; scarce; vacant post
缺点,quēdiǎn,weak point; fault; shortcoming; disadvantage
缺少,quēshǎo,lack; shortage of; shortfall; to be short (of)
确保,quèbǎo,to ensure; to guarantee
确定,quèdìng,definite; certain; fixed; to fix (on sth)
确实,quèshí,indeed; really; reliable; real
裙子,qúnzi,skirt
群,qún,group; crowd; flock; herd; pack etc
热爱,rèài,to love ardently; to adore
热烈,rèliè,enthusiastic; ardent; warm
人才,réncái,talent; talented person; looks; attractive looks
人工,réngōng,artificial; manpower; manual work
人类,rénlèi,humanity; human race; mankind
人民,rénmín,the people
人民币,rénmínbì,Renminbi (RMB); Chinese Yuan (CNY)
人群,rénqún,crowd
人生,rénshēng,life (one's time on earth)
人员,rényuán,staff; crew; personnel
认出,rènchū,recognition; to recognize
认得,rènde,to recognize; to remember sth (or sb) on seeing it; to know
认可,rènkě,to approve; approval; acknowledgment; OK
任,rèn,to appoint; duty; no matter (how)
任何,rènhé,any; whatever; whichever; whatsoever
任务,rènwu,mission; assignment; task; duty
仍,réng,still; yet; to remain; (literary) frequently
仍然,réngrán,still; as before; yet
日常,rìcháng,day-to-day; daily; everyday
容易,róngyì,easy; straightforward; likely; liable to
如何,rúhé,how; what way; what
散步,sànbù,to take a walk; to go for a walk
沙发,shāfā,sofa (loanword); (Internet slang) the first reply or replier to a forum post
沙子,shāzi,sand; grit
伤,shāng,to injure; injury; wound
伤心,shāngxīn,to grieve; to be broken-hearted; to feel deeply hurt
商品,shāngpǐn,commodity; goods; merchandise
商业,shāngyè,business; trade; commerce
上来,shànglái,to come up; to approach; (verb complement indicating success)
上面,shàngmiàn,on top of; above-mentioned
上去,shàngqù,to go up
上升,shàngshēng,to rise; to go up; to ascend
上衣,shàngyī,jacket; upper outer garment
设备,shèbèi,equipment; facilities; installations
设计,shèjì,to design; to plan; design; plan
设立,shèlì,to set up; to establish
社会,shèhuì,society
身份证,shēnfènzhèng,identity card; ID
深,shēn,deep (lit. and fig.)
深刻,shēnkè,profound; deep; deep-going
深入,shēnrù,to penetrate deeply; thorough
升,shēng,to ascend; to rise to the rank of; to promote; to hoist
生产,shēngchǎn,to produce; to manufacture; to give birth to a child
生存,shēngcún,to exist; to survive
生动,shēngdòng,vivid; lively
生命,shēngmìng,life (as the characteristic of living beings); living being; creature
生意,shēngyì,life force; vitality; business
生长,shēngzhǎng,to grow; to grow up; to be brought up
声明,shēngmíng,to state; to declare; statement; declaration
胜,shèng,victory; success; to beat; to defeat
胜利,shènglì,victory
失去,shīqù,to lose
